Symbol,Company,GICS Sector,GICS Sub-Industry,Source Index
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",S&P 500
BAC,Bank of America,Financials,Diversified Banks,S&P 500
BAX,Baxter International,Health Care,Health Care Equipment,S&P 500
BDX,Becton Dickinson,Health Care,Health Care Equipment,S&P 500
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,S&P 500
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,S&P 500
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,S&P 500
BIIB,Biogen,Health Care,Biotechnology,S&P 500
BLK,BlackRock,Financials,Asset Management & Custody Banks,S&P 500
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,S&P 500
XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,S&P 500
BK,BNY Mellon,Financials,Asset Management & Custody Banks,S&P 500
BA,Boeing,Industrials,Aerospace & Defense,"S&P 500, Dow 30"
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",S&P 500
BSX,Boston Scientific,Health Care,Health Care Equipment,S&P 500
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,S&P 500
AVGO,Broadcom,Information Technology,Semiconductors,S&P 500
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,S&P 500
BRO,Brown & Brown,Financials,Insurance Brokers,S&P 500
BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,S&P 500
BLDR,Builders FirstSource,Industrials,Building Products,S&P 500
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,S&P 500
BXP,"BXP, Inc.",Real Estate,Office REITs,S&P 500
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,S&P 500
CDNS,Cadence Design Systems,Information Technology,Application Software,S&P 500
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,S&P 500
CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,S&P 500
COF,Capital One,Financials,Consumer Finance,S&P 500
CAH,Cardinal Health,Health Care,Health Care Distributors,S&P 500
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",S&P 500
CARR,Carrier Global,Industrials,Building Products,S&P 500
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,"S&P 500, Dow 30"
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,S&P 500
CBRE,CBRE Group,Real Estate,Real Estate Services,S&P 500
CDW,CDW Corporation,Information Technology,Technology Distributors,S&P 500
COR,Cencora,Health Care,Health Care Distributors,S&P 500
CNC,Centene Corporation,Health Care,Managed Health Care,S&P 500
CNP,CenterPoint Energy,Utilities,Multi-Utilities,S&P 500
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,S&P 500
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,S&P 500
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,S&P 500
CHTR,Charter Communications,Communication Services,Cable & Satellite,S&P 500
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"S&P 500, Dow 30"
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,S&P 500
CB,Chubb Limited,Financials,Property & Casualty Insurance,S&P 500
CHD,Church & Dwight,Consumer Staples,Household Products,S&P 500
CI,Cigna,Health Care,Health Care Services,S&P 500
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,S&P 500
CTAS,Cintas,Industrials,Diversified Support Services,S&P 500
CSCO,Cisco,Information Technology,Communications Equipment,"S&P 500, Dow 30"
C,Citigroup,Financials,Diversified Banks,S&P 500
CFG,Citizens Financial Group,Financials,Regional Banks,S&P 500
CLX,Clorox,Consumer Staples,Household Products,S&P 500
CME,CME Group,Financials,Financial Exchanges & Data,S&P 500
CMS,CMS Energy,Utilities,Multi-Utilities,S&P 500
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"S&P 500, Dow 30"
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,S&P 500
COIN,Coinbase,Financials,Financial Exchanges & Data,S&P 500
CL,Colgate-Palmolive,Consumer Staples,Household Products,S&P 500
CMCSA,Comcast,Communication Services,Cable & Satellite,S&P 500
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,S&P 500
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,S&P 500
ED,Consolidated Edison,Utilities,Multi-Utilities,S&P 500
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,S&P 500
CEG,Constellation Energy,Utilities,Electric Utilities,S&P 500
COO,Cooper Companies (The),Health Care,Health Care Supplies,S&P 500
CPRT,Copart,Industrials,Diversified Support Services,S&P 500
GLW,Corning Inc.,Information Technology,Electronic Components,S&P 500
CPAY,Corpay,Financials,Transaction & Payment Processing Services,S&P 500
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,S&P 500
CSGP,CoStar Group,Real Estate,Real Estate Services,S&P 500
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,S&P 500
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,S&P 500
CRWD,CrowdStrike,Information Technology,Systems Software,S&P 500
CCI,Crown Castle,Real Estate,Telecom Tower REITs,S&P 500
CSX,CSX Corporation,Industrials,Rail Transportation,S&P 500
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,S&P 500
CVS,CVS Health,Health Care,Health Care Services,S&P 500
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,S&P 500
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,S&P 500
DDOG,Datadog,Information Technology,Application Software,S&P 500
DVA,DaVita,Health Care,Health Care Services,S&P 500
DAY,Dayforce,Industrials,Human Resource & Employment Services,S&P 500
DECK,Deckers Brands,Consumer Discretionary,Footwear,S&P 500
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,S&P 500
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500
DAL,Delta Air Lines,Industrials,Passenger Airlines,S&P 500
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,S&P 500
DXCM,Dexcom,Health Care,Health Care Equipment,S&P 500
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,S&P 500
DLR,Digital Realty,Real Estate,Data Center REITs,S&P 500
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,S&P 500
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,S&P 500
D,Dominion Energy,Utilities,Multi-Utilities,S&P 500
DPZ,Domino's,Consumer Discretionary,Restaurants,S&P 500
DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,S&P 500
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,S&P 500
DOW,Dow Inc.,Materials,Commodity Chemicals,S&P 500
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,S&P 500
DTE,DTE Energy,Utilities,Multi-Utilities,S&P 500
DUK,Duke Energy,Utilities,Electric Utilities,S&P 500
DD,DuPont,Materials,Specialty Chemicals,S&P 500
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,S&P 500
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,S&P 500
ECL,Ecolab,Materials,Specialty Chemicals,S&P 500
EIX,Edison International,Utilities,Electric Utilities,S&P 500
EW,Edwards Lifesciences,Health Care,Health Care Equipment,S&P 500
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,S&P 500
ELV,Elevance Health,Health Care,Managed Health Care,S&P 500
EME,Emcor,Industrials,Construction & Engineering,S&P 500
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,S&P 500
ETR,Entergy,Utilities,Electric Utilities,S&P 500
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,S&P 500
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,S&P 500
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,S&P 500
EFX,Equifax,Industrials,Research & Consulting Services,S&P 500
EQIX,Equinix,Real Estate,Data Center REITs,S&P 500
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,S&P 500
ERIE,Erie Indemnity,Financials,Insurance Brokers,S&P 500
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,S&P 500
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,S&P 500
EG,Everest Group,Financials,Reinsurance,S&P 500
EVRG,Evergy,Utilities,Electric Utilities,S&P 500
ES,Eversource Energy,Utilities,Electric Utilities,S&P 500
EXC,Exelon,Utilities,Electric Utilities,S&P 500
EXE,Expand Energy,Energy,Oil & Gas Exploration & Production,S&P 500
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",S&P 500
EXPD,Expeditors International,Industrials,Air Freight & Logistics,S&P 500
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,S&P 500
XOM,ExxonMobil,Energy,Integrated Oil & Gas,S&P 500
FFIV,"F5, Inc.",Information Technology,Communications Equipment,S&P 500
FDS,FactSet,Financials,Financial Exchanges & Data,S&P 500
FICO,Fair Isaac,Information Technology,Application Software,S&P 500
FAST,Fastenal,Industrials,Trading Companies & Distributors,S&P 500
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,S&P 500
FDX,FedEx,Industrials,Air Freight & Logistics,S&P 500
FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,S&P 500
FITB,Fifth Third Bancorp,Financials,Regional Banks,S&P 500
FSLR,First Solar,Information Technology,Semiconductors,S&P 500
FE,FirstEnergy,Utilities,Electric Utilities,S&P 500
FI,Fiserv,Financials,Transaction & Payment Processing Services,S&P 500
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,S&P 500
FTNT,Fortinet,Information Technology,Systems Software,S&P 500
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,S&P 500
FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,S&P 500
FOX,Fox Corporation (Class B),Communication Services,Broadcasting,S&P 500
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,S&P 500
FCX,Freeport-McMoRan,Materials,Copper,S&P 500
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,S&P 500
IT,Gartner,Information Technology,IT Consulting & Other Services,S&P 500
GE,GE Aerospace,Industrials,Aerospace & Defense,S&P 500
GEHC,GE HealthCare,Health Care,Health Care Equipment,S&P 500
GEV,GE Vernova,Industrials,Heavy Electrical Equipment,S&P 500
GEN,Gen Digital,Information Technology,Systems Software,S&P 500
GNRC,Generac,Industrials,Electrical Components & Equipment,S&P 500
GD,General Dynamics,Industrials,Aerospace & Defense,S&P 500
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,S&P 500
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,S&P 500
GPC,Genuine Parts Company,Consumer Discretionary,Distributors,S&P 500
GILD,Gilead Sciences,Health Care,Biotechnology,S&P 500
GPN,Global Payments,Financials,Transaction & Payment Processing Services,S&P 500
GL,Globe Life,Financials,Life & Health Insurance,S&P 500
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,S&P 500
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,"S&P 500, Dow 30"
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,S&P 500
HIG,Hartford (The),Financials,Property & Casualty Insurance,S&P 500
HAS,Hasbro,Consumer Discretionary,Leisure Products,S&P 500
HCA,HCA Healthcare,Health Care,Health Care Facilities,S&P 500
DOC,Healthpeak Properties,Real Estate,Health Care REITs,S&P 500
HSIC,Henry Schein,Health Care,Health Care Distributors,S&P 500
HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,S&P 500
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",S&P 500
HOLX,Hologic,Health Care,Health Care Equipment,S&P 500
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,"S&P 500, Dow 30"
HON,Honeywell,Industrials,Industrial Conglomerates,"S&P 500, Dow 30"
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,S&P 500
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,S&P 500
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,S&P 500
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,S&P 500
HUM,Humana,Health Care,Managed Health Care,S&P 500
HBAN,Huntington Bancshares,Financials,Regional Banks,S&P 500
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,S&P 500
IBM,IBM,Information Technology,IT Consulting & Other Services,"S&P 500, Dow 30"
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,S&P 500
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,S&P 500
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,S&P 500
INCY,Incyte,Health Care,Biotechnology,S&P 500
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,S&P 500
PODD,Insulet Corporation,Health Care,Health Care Equipment,S&P 500
INTC,Intel,Information Technology,Semiconductors,S&P 500
IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,S&P 500
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,S&P 500
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,S&P 500
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,S&P 500
IPG,Interpublic Group of Companies (The),Communication Services,Advertising,S&P 500
INTU,Intuit,Information Technology,Application Software,S&P 500
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,S&P 500
IVZ,Invesco,Financials,Asset Management & Custody Banks,S&P 500
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,S&P 500
IQV,IQVIA,Health Care,Life Sciences Tools & Services,S&P 500
IRM,Iron Mountain,Real Estate,Other Specialized REITs,S&P 500
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,S&P 500
JBL,Jabil,Information Technology,Electronic Manufacturing Services,S&P 500
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,S&P 500
J,Jacobs Solutions,Industrials,Construction & Engineering,S&P 500
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"S&P 500, Dow 30"
JCI,Johnson Controls,Industrials,Building Products,S&P 500
JPM,JPMorgan Chase,Financials,Diversified Banks,"S&P 500, Dow 30"
K,Kellanova,Consumer Staples,Packaged Foods & Meats,S&P 500
KVUE,Kenvue,Consumer Staples,Personal Care Products,S&P 500
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,S&P 500
KEY,KeyCorp,Financials,Regional Banks,S&P 500
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,S&P 500
KMB,Kimberly-Clark,Consumer Staples,Household Products,S&P 500
KIM,Kimco Realty,Real Estate,Retail REITs,S&P 500
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,S&P 500
KKR,KKR & Co.,Financials,Asset Management & Custody Banks,S&P 500
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,S&P 500
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,S&P 500
KR,Kroger,Consumer Staples,Food Retail,S&P 500
LHX,L3Harris,Industrials,Aerospace & Defense,S&P 500
LH,Labcorp,Health Care,Health Care Services,S&P 500
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,S&P 500
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,S&P 500
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,S&P 500
LDOS,Leidos,Industrials,Diversified Support Services,S&P 500
LEN,Lennar,Consumer Discretionary,Homebuilding,S&P 500
LII,Lennox International,Industrials,Building Products,S&P 500
LLY,Lilly (Eli),Health Care,Pharmaceuticals,S&P 500
LIN,Linde plc,Materials,Industrial Gases,S&P 500
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,S&P 500
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,S&P 500
LMT,Lockheed Martin,Industrials,Aerospace & Defense,S&P 500
L,Loews Corporation,Financials,Multi-line Insurance,S&P 500
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,S&P 500
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",S&P 500
LYB,LyondellBasell,Materials,Specialty Chemicals,S&P 500
MTB,M&T Bank,Financials,Regional Banks,S&P 500
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,S&P 500
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",S&P 500
MMC,Marsh McLennan,Financials,Insurance Brokers,S&P 500
MLM,Martin Marietta Materials,Materials,Construction Materials,S&P 500
MAS,Masco,Industrials,Building Products,S&P 500
MA,Mastercard,Financials,Transaction & Payment Processing Services,S&P 500
MTCH,Match Group,Communication Services,Interactive Media & Services,S&P 500
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,S&P 500
MCD,McDonald's,Consumer Discretionary,Restaurants,"S&P 500, Dow 30"
MCK,McKesson Corporation,Health Care,Health Care Distributors,S&P 500
MDT,Medtronic,Health Care,Health Care Equipment,S&P 500
MRK,Merck & Co.,Health Care,Pharmaceuticals,"S&P 500, Dow 30"
META,Meta Platforms,Communication Services,Interactive Media & Services,S&P 500
MET,MetLife,Financials,Life & Health Insurance,S&P 500
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,S&P 500
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,S&P 500
MCHP,Microchip Technology,Information Technology,Semiconductors,S&P 500
MU,Micron Technology,Information Technology,Semiconductors,S&P 500
MSFT,Microsoft,Information Technology,Systems Software,"S&P 500, Dow 30"
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,S&P 500
MRNA,Moderna,Health Care,Biotechnology,S&P 500
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,S&P 500
MOH,Molina Healthcare,Health Care,Managed Health Care,S&P 500
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,S&P 500
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,S&P 500
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,S&P 500
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,S&P 500
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,S&P 500
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,S&P 500
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,S&P 500
MSI,Motorola Solutions,Information Technology,Communications Equipment,S&P 500
MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,S&P 500
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,S&P 500
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500
NFLX,Netflix,Communication Services,Movies & Entertainment,S&P 500
NEM,Newmont,Materials,Gold,S&P 500
NWSA,News Corp (Class A),Communication Services,Publishing,S&P 500
NWS,News Corp (Class B),Communication Services,Publishing,S&P 500
NEE,NextEra Energy,Utilities,Multi-Utilities,S&P 500
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","S&P 500, Dow 30"
NI,NiSource,Utilities,Multi-Utilities,S&P 500
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,S&P 500
NSC,Norfolk Southern,Industrials,Rail Transportation,S&P 500
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,S&P 500
NOC,Northrop Grumman,Industrials,Aerospace & Defense,S&P 500
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",S&P 500
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,S&P 500
NUE,Nucor,Materials,Steel,S&P 500
NVDA,Nvidia,Information Technology,Semiconductors,"S&P 500, Dow 30"
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,S&P 500
NXPI,NXP Semiconductors,Information Technology,Semiconductors,S&P 500
ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,S&P 500
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,S&P 500
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,S&P 500
OMC,Omnicom Group,Communication Services,Advertising,S&P 500
ON,ON Semiconductor,Information Technology,Semiconductors,S&P 500
OKE,Oneok,Energy,Oil & Gas Storage & Transportation,S&P 500
ORCL,Oracle Corporation,Information Technology,Application Software,S&P 500
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,S&P 500
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,S&P 500
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,S&P 500
PLTR,Palantir Technologies,Information Technology,Application Software,S&P 500
PANW,Palo Alto Networks,Information Technology,Systems Software,S&P 500
PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,S&P 500
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,S&P 500
PAYX,Paychex,Industrials,Human Resource & Employment Services,S&P 500
PAYC,Paycom,Industrials,Human Resource & Employment Services,S&P 500
PYPL,PayPal,Financials,Transaction & Payment Processing Services,S&P 500
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,S&P 500
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,S&P 500
PFE,Pfizer,Health Care,Pharmaceuticals,S&P 500
PCG,PG&E Corporation,Utilities,Multi-Utilities,S&P 500
PM,Philip Morris International,Consumer Staples,Tobacco,S&P 500
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,S&P 500
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,S&P 500
PNC,PNC Financial Services,Financials,Diversified Banks,S&P 500
POOL,Pool Corporation,Consumer Discretionary,Distributors,S&P 500
PPG,PPG Industries,Materials,Specialty Chemicals,S&P 500
PPL,PPL Corporation,Utilities,Electric Utilities,S&P 500
PFG,Principal Financial Group,Financials,Life & Health Insurance,S&P 500
PG,Procter & Gamble,Consumer Staples,Personal Care Products,"S&P 500, Dow 30"
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,S&P 500
PLD,Prologis,Real Estate,Industrial REITs,S&P 500
PRU,Prudential Financial,Financials,Life & Health Insurance,S&P 500
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,S&P 500
PTC,PTC Inc.,Information Technology,Application Software,S&P 500
PSA,Public Storage,Real Estate,Self-Storage REITs,S&P 500
PHM,PulteGroup,Consumer Discretionary,Homebuilding,S&P 500
PWR,Quanta Services,Industrials,Construction & Engineering,S&P 500
QCOM,Qualcomm,Information Technology,Semiconductors,S&P 500
DGX,Quest Diagnostics,Health Care,Health Care Services,S&P 500
Q,Qnity Electronics,Information Technology,Semiconductor Materials & Equipment,S&P 500
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",S&P 500
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,S&P 500
RTX,RTX Corporation,Industrials,Aerospace & Defense,S&P 500
O,Realty Income,Real Estate,Retail REITs,S&P 500
REG,Regency Centers,Real Estate,Retail REITs,S&P 500
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,S&P 500
RF,Regions Financial Corporation,Financials,Regional Banks,S&P 500
RSG,Republic Services,Industrials,Environmental & Facilities Services,S&P 500
RMD,ResMed,Health Care,Health Care Equipment,S&P 500
RVTY,Revvity,Health Care,Health Care Equipment,S&P 500
HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,S&P 500
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,S&P 500
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,S&P 500
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,S&P 500
